Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",1210,4,100u,
"C10, C11, C12, C13, C14, C15, C16, C20, C21, C22, C23, C24, C25, C26, C27, C28, C30, C31, C5, C7, C8, C9",0603,22,100n,
"C17, C18",0603,2,12p,
C19,0603,1,3.3u,
"C29, C32",0603,2,1u,
C6,0603,1,10n,
D1,0603,1,Deep red 660 nm,
D2,0603,1,Amber 595 nm,
D3,0805,1,Warm white 3000 K,
D4,0603,1,Orange 610 nm,
D5,0603,1,Red 625 nm,
D6,0603,1,Yellow 585 nm,
D7,0603,1,Yellow-green 570 nm,
"F1, F2",0603,2,Polyfuse,
"FB1, FB2, FB3, FB4, FB5, FB6",0603,6,FerriteBead,
IC1,QFP50P1200X1200X160-64N,1,FT2232HL-REEL,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J3,PinHeader_1x13_P2.54mm_Horizontal,1,Conn_01x13_Pin,
J4,PinHeader_1x16_P2.54mm_Horizontal,1,Conn_01x16_Pin,
"R1, R2",0603,2,5k1,
"R10, R12, R13, R18, R19, R23",0603,6,10k,
R11,0603,1,2k2,
"R14, R9",0603,2,1k,
"R15, R16, R7",0603,3,330,
R17,0603,1,2k,
"R20, R21, R22, R4",0603,4,33,
R3,0603,1,1k5,
"R5, R6",0603,2,100k,
R8,0603,1,12k @1%,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
"TP1, TP2, TP3",TestPoint_Pad_D1.5mm,3,TestPoint,
U1,APS6404L-3SQR-SN_APY,1,APS6404L-3SQR-SN,
U2,SOT-23-6,1,LM3880,
U3,SOT-23-5,1,TLV75512PDBV,
U4,SOT-23-5,1,TLV75533PDBV,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,93LCxxB,
U6,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSS,
U8,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,ICE40UP5K-SG48ITR,
Y2,Oscillator_SMD_Abracon_ASV-4Pin_7.0x5.1mm,1,ASV-12MHz,
Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12mhz @ 10pf load,
