Designator,Mid X,Mid Y,Rotation,Layer
C1,112.6,-84.425,270.0,top
C10,130.377767,-85.799647,270.0,top
C11,135.877767,-85.824647,270.0,top
C12,136.327767,-75.524647,90.0,bottom
C13,132.827767,-68.624647,90.0,top
C14,120.877767,-79.299647,270.0,top
C15,120.017887,-73.577267,135.0,top
C16,135.827767,-68.624647,90.0,top
C17,121.017887,-72.077267,315.0,top
C18,125.517887,-67.577267,135.0,top
C19,138.365267,-69.487147,0.0,top
C2,120.1,-84.3625,270.0,top
C20,122.1,-59.6,45.0,top
C21,157.130687,-74.885219,0.0,top
C22,167.925,-68.675,90.0,top
C23,166.1125,-84.5,0.0,top
C24,160.7875,-78.0,180.0,top
C25,168.25,-80.5,270.0,bottom
C26,171.1625,-71.125,180.0,bottom
C27,160.8375,-77.0,0.0,bottom
C28,164.8875,-63.75,180.0,top
C29,172.9625,-87.425,180.0,top
C3,109.9375,-63.5,180.0,top
C30,166.4,-80.3625,270.0,bottom
C31,152.1125,-67.25,180.0,top
C32,152.1125,-65.5,180.0,top
C4,118.5,-64.3125,270.0,top
C5,172.9625,-90.625,180.0,top
C6,172.9625,-89.025,180.0,top
C7,124.877767,-80.549647,270.0,top
C8,136.327767,-79.949647,270.0,bottom
C9,127.065267,-71.387147,0.0,bottom
D1,123.575,-85.95,180.0,top
D2,134.052767,-62.387147,180.0,bottom
D3,109.3,-72.75,90.0,bottom
D4,167.475,-65.3625,270.0,bottom
D5,176.125,-76.625,0.0,top
D6,178.65,-77.55,270.0,top
D7,180.25,-77.55,270.0,top
F1,109.5,-79.5875,270.0,top
F2,109.5,-68.9125,90.0,top
FB1,109.5,-82.975,270.0,top
FB2,110.375,-66.0,0.0,top
FB3,123.502767,-77.937147,0.0,top
FB4,123.502767,-74.937147,0.0,top
FB5,165.25,-81.875,270.0,top
FB6,172.95,-92.225,0.0,top
IC1,132.639767,-77.187147,0.0,top
J1,103.575,-74.43,270.0,top
J2,145.25,-76.15,0.0,top
J3,183.0,-75.76,180.0,bottom
J4,143.7,-92.5,270.0,bottom
R1,104.4125,-73.25,0.0,bottom
R10,131.227767,-67.399647,90.0,top
R11,129.827767,-64.987147,45.0,top
R12,151.505687,-78.885219,180.0,bottom
R13,154.905687,-77.685219,0.0,bottom
R14,164.975,-64.425,0.0,bottom
R15,178.65,-82.0875,270.0,top
R16,180.25,-83.5875,90.0,top
R17,109.3,-76.2875,270.0,bottom
R18,163.5,-67.0,90.0,bottom
R19,160.7875,-73.325,0.0,bottom
R2,104.3375,-76.0,0.0,bottom
R20,141.215267,-76.387147,0.0,top
R21,141.215267,-77.987147,0.0,top
R22,141.215267,-79.587147,0.0,top
R23,131.527767,-63.274647,90.0,bottom
R3,122.6,-83.4375,270.0,top
R4,172.6,-77.725,180.0,top
R5,115.0875,-66.25,180.0,top
R6,112.0,-71.0875,90.0,top
R7,177.0,-77.5875,270.0,bottom
R8,118.773002,-74.832382,135.0,top
R9,129.815267,-79.987147,180.0,bottom
SW1,163.65,-66.25,0.0,top
U1,156.17475,-62.155,180.0,top
U2,115.3625,-68.95,180.0,top
U3,114.6125,-63.55,180.0,top
U4,116.3625,-83.45,180.0,top
U5,125.926691,-62.288045,45.0,top
U6,152.405687,-78.280219,270.0,top
U8,166.6625,-74.575,0.0,top
Y2,174.4875,-82.565,90.0,top
Y3,123.554544,-70.058289,225.0,top
